,words,occurrences
212,everybean,1
213,continue,19
214,serve,1
215,gas,1
216,name,7
217,fox,4
218,human,2
219,holiday,7
220,deity,2
221,busy,6
222,wish,12
223,trueincluding,1
224,stream,191
225,hand,4
226,vr,4
227,vrc,3
228,logo,2
229,iamirrora,1
230,pet,1
231,trend,5
232,early,5
233,well,30
234,guy,40
235,fresh,1
236,coffee,4
237,start,58
238,right,19
239,it,5
240,late,5
241,release,2
242,hey,20
243,drink,4
244,smoke,1
245,on,3
246,nowdark,1
247,souls,12
248,irithyll,1
249,nt,95
250,scary,1
251,alas,1
252,visit,3
253,dungeons,1
254,yet,14
255,bio,4
256,furry,10
257,ve,32
258,talk,8
259,dragons,1
260,aid,1
261,civil,1
262,war,8
263,ultimately,1
264,betray,1
265,douchier,1
266,side,3
267,become,19
268,werewolf,1
269,cannibal,1
270,cure,1
271,vampirism,1
272,twice,3
273,steal,3
274,kill,5
275,people,33
276,guess,11
277,ll,46
278,bribe,1
279,demons,1
280,op,1
281,weapons,1
282,genshin,8
283,week,15
284,ciarralive,1
285,overlay,3
286,comm,2
287,torapng,1
288,mark,4
289,calendar,2
290,december,9
291,th,11
292,subathon,2
293,hour,10
294,imma,5
295,big,7
296,fun,43
297,hype,5
298,pun,2
299,wednesday,6
300,owo,7
301,gumshoe,1
302,queen,2
303,da,2
304,job,7
305,booger,1
306,recommend,5
307,phuhuhuhuh,1
308,things,16
309,cancel,3
310,tonight,36
311,unfortunately,5
312,understand,4
313,thursday,2
314,however,1
315,still,25
316,pm,53
317,pst,12
318,mythiceggs,1
319,pixelmon,4
320,smp,1
321,trailer,1
322,incoming,2
323,check,19
324,buzz,1
325,word,5
326,boom,1
327,blam,1
328,kazaam,1
329,pow,1
330,wow,5
331,minecraft,17
332,cieakantvtuber,2
333,kinokovtuber,1
334,comfy,6
335,seiso,7
336,say,33
337,everyone,58
338,never,7
339,imagine,4
340,streamer,24
341,owe,3
342,especially,4
343,mickygames,1
344,help,19
345,amp,21
346,push,1
347,forward,7
348,truly,6
349,minokalu,2
350,lmao,7
351,pls,4
352,haha,3
353,neroshawnttv,1
354,shawn,1
355,wacky,2
356,kiryu,1
357,coco,1
358,idea,9
359,please,25
360,send,4
361,appreciate,12
362,theses,1
363,athananadmion,1
364,flouninvt,1
365,shyvtuber,1
366,danchotsume,1
367,ozzzyowl,1
368,scgsworld,1
369,moricalliope,1
370,music,8
371,flow,2
372,lyric,1
373,deep,1
374,wheel,1
375,roguelikes,1
376,streamers,4
377,twitchgaming,1
378,roguelike,1
379,mommy,3
380,must,2
381,admit,2
382,fuckin,1
383,itto,9
384,genshinimpact,9
385,cupheaaad,1
386,lovelies,1
387,since,23
388,finish,19
389,sable,1
390,yesterday,6
391,dark,8
392,ii,1
393,scholar,1
394,sin,1
395,playthrough,5
396,barely,1
397,give,18
398,ol,2
399,college,3
400,transtuber,1
401,darksouls,3
402,jarofrubiesart,2
403,rowanveetee,2
404,mama,3
405,couldnt,3
406,ask,7
407,better,19
408,family,5
409,wait,32
410,saruei,8
411,originalfunko,2
412,tokenheadio,2
413,dropppio,2
414,bob,1
415,ross,1
416,samsung,1
417,alarm,1
418,hit,10
419,anime,12
420,short,7
421,thing,15
422,account,7
423,remain,3
424,extra,3
425,lewd,3
426,nsfw,4
427,content,13
428,exclusively,1
429,post,23
430,include,6
431,character,8
432,artwork,4
433,hexxedunleashed,1
434,turn,11
435,joke,5
436,kinda,7
437,funny,6
438,rhapsodyautumn,1
439,stressful,3
440,communities,4
441,thats,4
442,purely,1
443,personal,2
444,experience,4
445,something,18
446,day,27
447,cant,6
448,happy,19
449,bbsmols,1
450,aim,3
451,followers,10
452,wan,16
453,na,52
454,hang,9
455,geren,1
456,gilgamesh,1
457,offer,3
458,service,4
459,read,3
460,wtnc,1
461,gervtuber,4
462,salsa,1
463,class,2
464,vrchat,9
465,dance,2
466,metaverse,1
467,sunrays,1
468,sun,2
469,form,6
470,walk,3
471,alongside,1
472,spread,5
473,maybe,17
474,glimpse,1
475,roxoah,1
476,possible,4
477,cat,5
478,doin,3
479,lurk,3
480,welcome,6
481,appriciated,1
482,twitchtv,5
483,ollieday,1
484,draw,28
485,commission,27
486,axis,1
487,tempest,1
488,kureiji,1
489,ollie,1
490,fan,16
491,server,6
492,discord,10
493,wayyy,1
494,whole,7
495,wallpaper,1
496,feel,20
497,free,19
498,use,17
499,graveyart,1
500,hololiveid,1
501,stanniversollie,1
502,another,18
503,chaos,4
504,heyheyhey,1
505,okie,1
506,dokie,1
507,work,38
508,want,53
509,stuff,15
510,reply,7
511,voice,7
512,memo,2
513,momo,2
514,emote,12
515,sarajleen,1
516,mean,16
517,kind,6
518,pog,1
519,mouth,2
520,trendy,1
521,gnaw,1
522,nothing,7
523,hades,2
524,engfr,1
525,asmr,3
526,dio,1
527,xiulanlong,2
528,sleep,4
529,creativity,1
530,community,26
531,vibrant,2
532,inspire,3
533,gorgeous,2
534,awesome,4
535,saturn,1
536,squad,2
537,forget,12
538,boing,1
539,zoom,1
540,twitchstreaming,6
541,timelapse,2
542,asami,1
543,latest,1
544,image,2
545,instead,7
546,iam,1
547,artist,11
548,tablet,1
549,pencil,1
550,sometimes,3
551,artistproblems,1
552,digitalartist,1
553,knightsentinelv,1
554,stompyosu,1
555,aokiralvt,1
556,qestrabestra,1
557,vivmalaguld,1
558,opheliadagon,1
559,theresavtuber,7
560,ladyrosenoirevt,1
561,vixievtuber,1
562,kpdrawings,1
563,bukythend,1
564,refleshments,1
565,salmonsugarz,1
566,serpyserenity,1
567,sentiii,1
568,lazypotatoart,2
569,decide,6
570,giveaway,3
571,png,6
572,model,48
573,enter,2
574,follow,19
575,retweet,3
576,comment,10
577,rd,4
578,gmt,16
579,fast,1
580,approach,1
581,last,17
582,several,3
583,months,17
584,kvotevtuber,8
585,rejomei,1
586,gon,36
587,need,13
588,plenty,1
589,water,4
590,tag,8
591,nikoisntsmart,1
592,five,3
593,heros,1
594,hammerwatch,1
595,smashbros,1
596,ultimate,2
597,aceayune,1
598,hehe,3
599,gt,22
600,oh,13
601,snow,2
602,colder,1
603,warm,6
604,hug,4
605,cuddle,1
606,afterwards,2
607,isekai,2
608,land,2
609,hmm,1
610,hop,5
611,phasmophobia,3
612,update,9
613,close,10
614,pokmon,3
615,entirely,1
616,sure,12
617,stick,4
618,around,23
619,cozy,2
620,lounge,1
621,journey,8
622,drangleic,1
623,world,8
624,best,22
625,video,11
626,player,1
627,could,21
628,outdated,1
629,mod,3
630,pick,5
631,manager,1
632,rosevtuber,1
633,lovlies,1
634,chat,14
635,serious,2
636,ready,11
637,cry,2
638,mr,2
639,krabs,1
640,ffxiv,9
641,concussion,1
642,starryyozzy,1
643,void,1
644,draconic,1
645,overlook,1
646,ship,5
647,esephia,1
648,favourite,3
649,girl,5
650,angry,2
651,cherubs,1
652,summon,2
653,offline,2
654,enough,4
655,pity,1
656,nervous,1
657,record,1
658,available,6
659,soon,14
660,surprise,8
661,unbox,1
662,yo,9
663,yakuza,4
664,pass,1
665,infinityvtuber,4
666,idunno,1
667,add,8
668,goal,6
669,rig,9
670,mic,1
671,webcam,2
672,might,7
673,shit,7
674,criminal,2
675,cock,2
676,degens,1
677,ten,1
678,minutes,16
679,till,5
680,prepare,2
681,andor,1
682,mercilive,1
683,pretty,15
684,weather,3
685,permit,1
686,impact,2
687,cst,7
688,boy,2
689,honorary,1
690,viewer,6
691,recappin,1
692,highest,1
693,category,1
694,none,1
695,dj,1
696,watch,29
697,surpass,1
698,aniyukivtuber,4
699,deal,3
700,snackdoesart,1
701,heya,1
702,professional,2
703,dm,4
704,platform,2
705,couple,5
706,hours,14
707,supportsmallstreams,3
708,choose,5
709,two,9
710,sketch,4
711,comms,2
712,but,1
713,bumbleebutt,1
714,design,5
715,remichuu,1
716,bumbleillust,1
717,santashelper,1
718,okay,8
719,software,4
720,anyone,14
721,advice,3
722,wheeze,1
723,alright,6
724,bigger,2
725,quite,5
726,possibly,1
727,louder,1
728,friend,12
729,channel,12
730,person,5
731,compose,2
732,id,3
733,interest,14
734,composition,1
735,tlaking,1
736,urghhh,1
737,commentary,1
738,listen,5
739,head,7
740,empty,2
741,shrek,2
742,wahh,1
743,thankyou,3
744,huge,4
745,ago,6
746,ca,19
747,spend,6
748,meme,6
749,review,3
750,do,16
751,submit,1
752,memes,1
753,mysterialive,1
754,memereview,1
755,funky,3
756,complete,5
757,pixelart,1
758,asshole,1
759,instantly,1
760,put,16
761,pedestal,1
762,allow,2
763,shitty,3
764,creators,1
765,viewers,5
766,treat,1
767,respect,1
768,return,2
769,wexconnected,1
770,lag,1
771,internet,1
772,connection,2
773,anyways,3
774,debonair,1
775,orb,1
776,leona,1
777,leblanc,1
778,catch,3
779,top,4
780,hozier,1
781,chemical,1
782,romance,1
783,corpse,1
784,husband,1
785,akira,1
786,yamaoka,1
787,britney,1
788,spear,1
789,edalouisch,1
790,ichitanarts,1
791,nittovtuber,8
792,daily,3
793,mia,2
794,fall,6
795,max,1
796,recovery,1
797,event,2
798,vrbunnies,2
799,usagi,1
800,picture,4
801,omnivr,1
802,gift,3
803,success,1
804,fairly,1
805,oneoff,2
806,christmasy,1
807,seramakichan,1
808,haloinfinitecampaign,1
809,thread,5
810,disagree,1
811,owenfuckem,1
812,nftresellers,1
813,jefftwilson,1
814,impliedchoppy,1
815,drop,12
816,zhen,1
817,bai,1
818,hu,1
819,build,6
820,guide,2
821,iron,1
822,saga,1
823,nd,2
824,anniversary,4
825,mecha,1
826,hanzo,2
827,past,5
828,years,5
829,befor,1
830,base,6
831,hattori,1
832,historical,1
833,samurai,1
834,general,1
835,kid,3
836,change,12
837,glad,5
838,endure,2
839,part,12
840,rage,1
841,emulate,1
842,old,3
843,hyper,1
844,focus,2
845,handful,1
846,st,2
847,nuzlocke,2
848,gooooo,3
849,azuraoo,2
850,law,2
851,thankful,3
852,opportunity,2
853,write,8
854,think,40
855,scenes,2
856,fully,1
857,studio,2
858,touch,1
859,alicesoft,1
860,mc,1
861,villan,1
862,xd,10
863,night,15
864,shift,2
865,jan,3
866,ill,9
867,dec,7
868,someone,16
869,blue,1
870,dragon,4
871,nice,9
872,beautiful,5
873,gamergirl,2
874,axowotl,1
875,teikkivtuber,1
876,jig,1
877,call,16
878,clean,1
879,yes,9
880,nicest,2
881,ass,3
882,setup,1
883,completeness,1
884,prep,1
885,friday,6
886,movie,3
887,decorate,1
888,tree,2
889,ornament,1
890,embarrass,3
891,adventure,9
892,brighter,2
893,minz,1
894,question,5
895,magnusjakalvius,1
896,barbarian,1
897,king,1
898,magnus,1
899,strongest,1
900,powerful,1
901,highly,1
902,yukihatsuch,1
903,already,9
904,streamy,1
905,bloodborne,1
906,hi,10
907,announcement,6
908,thai,1
909,english,2
910,japanese,4
911,msq,2
912,ff,4
913,ahead,4
914,careful,2
915,finalfantasyxiv,2
916,lol,22
917,dbd,2
918,divorce,1
919,gloriously,1
920,wonderful,12
921,mvtkane,1
922,nonsense,1
923,be,7
924,pht,1
925,multistream,1
926,phvtuber,7
927,dang,2
928,bother,2
929,study,1
930,vchewba,1
931,ranboo,1
932,ability,2
933,throw,3
934,fugakuvtuber,1
935,genius,2
936,communication,1
937,ai,2
938,speak,4
939,nyaaaaaaaaa,1
940,envutbers,1
941,quest,3
942,away,4
943,endwalker,2
944,ngl,2
945,definitely,4
946,tear,1
947,tissue,1
948,trip,2
949,endwalkerspoilers,1
950,totally,4
951,full,16
952,cuz,4
953,vtubing,7
954,loyal,1
955,april,3
956,necessary,2
957,wide,1
958,range,1
959,expressions,1
960,limit,1
961,slot,3
962,tos,1
963,info,3
964,vroid,7
965,mosscoatvtuber,2
966,avatar,6
967,interact,3
968,moot,1
969,hololive,7
970,man,5
971,piece,5
972,perfect,2
973,invest,2
974,towards,3
975,least,6
976,three,2
977,fit,1
978,vision,1
979,holostars,2
980,party,4
981,episode,1
982,wed,4
983,thurs,1
984,jst,3
985,discover,2
986,holopro,1
987,janurary,1
988,more,2
989,redeem,8
990,hydrate,2
991,together,9
992,many,16
993,memories,2
994,charity,2
995,cancerresearch,1
996,recap,3
997,ocd,1
998,unpackinggame,1
999,later,11
1000,organize,1
1001,haruchan,1
1002,sense,1
1003,squaredlame,1
1004,deserve,1
1005,naosart,1
1006,eonsink,1
1007,harukotatsu,3
1008,trrrr,1
1009,sound,3
1010,tongue,1
1011,preparation,1
1012,overhaul,1
1013,cool,14
1014,show,19
1015,legit,7
1016,xp,1
1017,yooo,1
1018,dragonkin,1
1019,mid,2
1020,days,4
1021,celebrate,6
1022,min,4
1023,ok,5
1024,redrew,1
1025,assets,7
1026,oooh,1
1027,rts,3
1028,raise,5
1029,money,6
1030,rewardsredeems,1
1031,helll,1
1032,yeaahhhh,1
1033,upcoming,2
1034,categories,1
1035,anything,6
1036,scuff,3
1037,doctor,1
1038,dr,3
1039,muto,1
1040,animegirl,2
1041,upload,2
1042,itsyoshiken,1
1043,prediction,1
1044,btw,3
1045,predict,2
1046,noooo,2
1047,jinx,3
1048,ta,3
1049,fellas,1
1050,rly,2
1051,shame,1
1052,lavendertown,1
1053,weird,5
1054,test,5
1055,strem,1
1056,warn,2
1057,im,19
1058,ded,1
1059,click,3
1060,button,4
1061,advertisement,1
1062,kirenocs,1
1063,avg,3
1064,without,6
1065,reduce,1
1066,shout,3
1067,chi,1
1068,nyan,1
1069,affiliate,8
1070,concept,3
1071,uhm,1
1072,remake,1
1073,sell,1
1074,livedalive,1
1075,digitalart,8
1076,art,44
1077,characterdesign,2
1078,characterart,1
1079,newruguru,1
1080,mario,1
1081,cart,1
1082,vent,2
1083,lack,1
1084,self,2
1085,care,5
1086,uhh,1
1087,mine,4
1088,lose,7
1089,mail,1
1090,tier,1
1091,list,4
1092,disrespect,1
1093,ysandevt,1
1094,fanfic,1
1095,actually,8
1096,superhero,1
1097,au,1
1098,hard,4
1099,energy,3
1100,nene,1
1101,censorship,1
1102,pro,2
1103,momosuzunene,1
1104,hololivejp,1
1105,twichrecap,1
1106,psivytan,1
1107,pepe,2
1108,fanboy,1
1109,bonzi,1
1110,bear,3
1111,exist,2
1112,frog,1
1113,tire,1
1114,seem,13
1115,clothe,4
1116,nyahaha,1
1117,quiet,1
1118,newest,1
1119,gabx,1
1120,tho,6
1121,young,2
1122,curious,4
1123,anon,1
1124,enjoyers,1
1125,wont,3
1126,etsy,1
1127,dmodelcommission,1
1128,affect,1
1129,flash,1
1130,sale,2
1131,portrait,1
1132,color,4
1133,completely,1
1134,usd,3
1135,off,1
1136,chance,2
1137,rosewips,1
1138,vtuberassets,4
1139,bdsp,1
1140,bicycle,3
1141,city,7
1142,jubilife,2
1143,eterna,1
1144,route,2
1145,north,1
1146,cave,1
1147,pbvtuber,2
1148,tech,2
1149,melee,1
1150,brrrrrrrr,1
1151,career,3
1152,far,10
1153,goalsetting,1
1154,gamers,4
1155,announce,3
1156,wreneatsdirt,1
1157,hopefully,9
1158,utc,2
1159,dive,3
1160,dungeon,1
1161,thankfully,2
1162,trust,2
1163,system,2
1164,badly,1
1165,mechanics,1
1166,seeya,1
1167,ggggoooood,1
1168,believe,12
1169,different,5
1170,cities,1
1171,skylines,1
1172,pdt,1
1173,sachistream,1
1174,february,2
1175,perhaps,2
1176,pegasuswitchvt,1
1177,pegasus,1
1178,squirrelvt,3
1179,hot,3
1180,pocket,1
1181,sandwich,2
1182,doom,1
1183,bot,1
1184,clip,9
1185,vtuberclips,2
1186,blackvtubers,1
1187,hilariousvideos,1
1188,newvideos,1
1189,abaandpreach,1
1190,guten,1
1191,morgen,1
1192,soldier,2
1193,embark,1
1194,learn,9
1195,german,1
1196,foxplushy,1
1197,earn,1
1198,current,2
1199,projections,1
1200,shoutotdrk,1
1201,angle,1
1202,unexplainable,1
1203,mahouvt,1
1204,atlas,1
1205,hoki,1
1206,vaporwave,1
1207,aesthetic,1
1208,fiji,1
1209,vibes,3
1210,high,1
1211,school,4
1212,honeych,2
1213,fanemotes,1
1214,helltakers,1
1215,solve,3
1216,puzzle,1
1217,amongwoch,1
1218,oo,2
1219,katalive,1
1220,rat,1
1221,sole,1
1222,recite,1
1223,raaaat,1
1224,actin,1
1225,thumbnails,1
1226,youtuber,1
1227,dinosaur,1
1228,harvestmoon,1
1229,kevinwhodraws,1
1230,course,3
1231,count,7
1232,zohanazombie,1
1233,tbh,2
1234,wooly,1
1235,fluffy,1
1236,avatars,5
1237,plan,11
1238,pathtoaffiliate,1
1239,intergalactic,1
1240,space,5
1241,hotsory,1
1242,cannibalize,1
1243,existence,1
1244,normal,5
1245,debate,1
1246,regardless,2
1247,tomoetheneko,2
1248,vroidstudio,2
1249,vtubergeitor,3
1250,status,2
1251,achieve,1
1252,yeeeey,1
1253,omg,2
1254,expect,6
1255,idk,7
1256,figure,2
1257,celebration,4
1258,reschedule,1
1259,else,7
1260,probably,6
1261,stigma,2
1262,ball,1
1263,lielmer,1
1264,absolutely,2
1265,sixth,1
1266,ofc,1
1267,true,3
1268,shitposting,2
1269,narrative,1
1270,arc,1
1271,lore,4
1272,oohh,1
1273,didnt,2
1274,number,6
1275,unleash,1
1276,fury,1
1277,pic,2
1278,save,6
1279,answer,3
1280,paladins,2
1281,shiny,1
1282,hunt,3
1283,disgaea,1
1284,whisper,1
1285,pokemonbdsp,1
1286,march,2
1287,onandoff,1
1288,due,2
1289,issue,6
1290,exams,1
1291,life,2
1292,sad,2
1293,crypto,1
1294,yurikomorebi,1
1295,congrats,4
1296,hoooome,1
1297,single,2
1298,nitto,2
1299,inhope,1
1300,ofnit,1
1301,lil,2
1302,orange,3
1303,soda,1
1304,slime,3
1305,persona,5
1306,streamloots,1
1307,pack,4
1308,sharkpacasaur,1
1309,we,3
1310,prawn,2
1311,suit,4
1312,subnautica,2
1313,crowefam,2
1314,ykshck,2
1315,smallstreamersconnect,3
1316,twitchaffilate,4
1317,erie,2
1318,cai,1
1319,sky,2
1320,fairy,4
1321,small,2
1322,honkai,1
1323,fire,5
1324,emblem,1
1325,etc,1
1326,fanfiction,1
1327,sign,3
1328,immaculate,1
1329,alot,5
1330,indie,3
1331,kronii,1
1332,mori,2
1333,suisei,2
1334,others,7
1335,brand,2
1336,session,1
1337,sunday,1
1338,dungeonsanddragons,1
1339,vanillaheartsvt,3
1340,lellryosuke,4
1341,ushimarucowwuvt,5
1342,carrotsmister,3
1343,vtuberdeannez,11
1344,taffvee,4
1345,preciouswholesome,1
1346,section,1
1347,demand,1
1348,slice,1
1349,bread,4
1350,inbetween,1
1351,enph,2
1352,warframe,5
1353,prob,1
1354,neutral,3
1355,remebered,1
1356,weeeeeeee,1
1357,challenge,2
1358,rank,3
1359,dead,5
1360,rise,3
1361,sarcastic,1
1362,hear,7
1363,promise,4
1364,genuinely,3
1365,swear,4
1366,ballon,1
1367,pop,2
1368,balloon,2
1369,japan,3
1370,voiceactors,1
1371,anitwtselfieday,1
1372,animations,1
1373,videogame,1
1374,indiegame,1
1375,gamefi,1
1376,voiceactor,1
1377,va,1
1378,birthdaygirl,2
1379,baby,3
1380,demonsouls,1
1381,wo,2
1382,cariusvtuber,1
1383,wizard,1
1384,oz,1
1385,krowko,1
1386,jump,7
1387,sonicoc,1
1388,november,2
1389,trinityin,4
1390,lyotosan,1
1391,vagabond,1
1392,drive,1
1393,wherever,1
1394,may,8
1395,roam,1
1396,bmw,1
1397,gtr,1
1398,nutshell,1
1399,version,3
1400,krissumas,1
1401,donation,1
1402,prize,1
1403,donationprizes,1
1404,smash,1
1405,supersmashbrosultimate,1
1406,map,1
1407,ark,1
1408,safe,4
1409,arksurvivalevolved,1
1410,haatoyuuki,1
1411,agreeee,1
1412,drama,4
1413,haato,1
1414,omfg,1
1415,accurate,1
1416,bless,2
1417,friendship,1
1418,dumb,2
1419,neko,4
1420,vtuberendo,1
1421,rosaryink,1
1422,kaptivatetv,1
1423,edeniaeuclase,1
1424,talatora,1
1425,plz,2
1426,thrive,1
1427,weekend,2
1428,drill,1
1429,ape,1
1430,lean,1
1431,news,4
1432,legion,1
1433,possess,1
1434,snowmen,1
1435,outside,1
1436,slimebot,1
1437,bident,1
1438,battle,3
1439,bare,1
1440,header,1
1441,shinyriot,1
1442,taiyorise,1
1443,wildly,1
1444,talented,5
1445,wrong,6
1446,doesnt,2
1447,horribly,1
1448,stardew,5
1449,shoutout,2
1450,aoriyu,2
1451,vtbr,1
1452,vtuberbr,2
1453,artistontwitter,3
1454,fuck,13
1455,kainenvtuber,1
1456,nno,1
1457,ps,7
1458,staff,1
1459,interview,2
1460,room,3
1461,applicant,1
1462,absolute,4
1463,madman,1
1464,behind,2
1465,power,1
1466,move,4
1467,sogetavt,1
1468,rarely,1
1469,male,4
1470,dmodel,1
1471,cow,2
1472,zorbrts,1
1473,rtsmallstreams,1
1474,kingdom,1
1475,hearts,1
1476,evz,2
1477,millie,1
1478,imposter,1
1479,crab,1
1480,korl,1
1481,monday,1
1482,kentina,1
1483,toxic,3
1484,englishvirtualzone,1
1485,rockin,1
1486,partner,2
1487,callin,1
1488,playthru,1
1489,dlc,2
1490,wild,2
1491,rift,1
1492,league,4
1493,leagueoflegends,3
1494,leagueoflegendswildrift,1
1495,maimoto,1
1496,keisuke,1
1497,grab,2
1498,gamer,2
1499,juice,2
1500,pull,6
1501,seat,2
1502,log,1
1503,sword,2
1504,me,2
1505,twitchstream,2
1506,volt,1
1507,nibellion,1
1508,nfts,1
1509,rayleighscale,1
1510,kimieart,1
1511,monomoonho,1
1512,eye,7
1513,noncolour,1
1514,blind,2
1515,lens,1
1516,streamelements,1
1517,switch,3
1518,baybee,1
1519,dont,6
1520,summaries,1
1521,suzu,1
1522,slowly,3
1523,artsummary,3
1524,ahhh,1
1525,luci,1
1526,excite,16
1527,amount,1
1528,interaction,2
1529,reach,5
1530,goals,1
1531,attention,1
1532,collaborations,1
1533,boost,1
1534,confidence,1
1535,cross,1
1536,react,1
1537,indieworld,2
1538,showcase,4
1539,glutin,1
1540,crowd,1
1541,agree,1
1542,lettuce,1
1543,replace,1
1544,second,7
1545,cup,1
1546,bust,3
1547,page,2
1548,report,8
1549,ayo,1
1550,you,1
1551,spd,2
1552,house,2
1553,emergency,1
1554,mode,4
1555,practice,1
1556,future,4
1557,extend,2
1558,car,4
1559,warrenty,1
1560,bootleg,1
1561,skyrim,2
1562,leafgun,1
1563,heal,1
1564,wound,1
1565,raven,1
1566,tide,1
1567,mortals,2
1568,invite,3
1569,handfasting,1
1570,ceremony,1
1571,apparently,4
1572,store,1
1573,weaponry,1
1574,viking,1
1575,gartic,1
1576,phone,3
1577,garticphone,1
1578,christmasparty,1
1579,herbs,1
1580,spice,1
1581,taste,2
1582,kfc,3
1583,render,2
1584,body,5
1585,vtubermodel,2
1586,gtalexb,1
1587,clexandle,2
1588,swaggness,2
1589,jinvtuber,12
1590,aranthelichking,2
1591,nakedtuna,2
1592,asheads,2
1593,lmonkeyl,2
1594,celestiaiheart,2
1595,parallel,1
1596,xenoverse,1
1597,colab,1
1598,demonscratch,1
1599,subject,2
1600,crazy,3
1601,dmc,1
1602,hangout,2
1603,cuties,3
1604,ya,11
1605,dis,1
1606,merrychristmas,1
1607,rinabunni,1
1608,senniursa,1
1609,itskumamochie,1
1610,sry,1
1611,laavispavtuber,2
1612,confirm,2
1613,waggle,1
1614,blame,1
1615,drone,1
1616,obs,4
1617,streamlabs,2
1618,daylight,2
1619,vtubertweeterpatreon,1
1620,furryfandom,2
1621,shirtmysurvivor,1
1622,birthday,6
1623,odyssey,1
1624,assassin,1
1625,creed,1
1626,crossover,1
1627,fatepriceof,1
1628,sleepy,1
1629,strim,1
1630,crawl,1
1631,arr,1
1632,dream,3
1633,someday,2
1634,finalfantasy,1
1635,distract,1
1636,playlist,1
1637,giggle,1
1638,nurse,1
1639,watchin,1
1640,controversial,1
1641,slap,1
1642,kainin,1
1643,subscribe,3
1644,wip,2
1645,sticker,1
1646,tester,1
1647,inaaa,1
1648,clipstudiopaint,1
1649,chibi,4
1650,cause,3
1651,pay,3
1652,overwatch,1
1653,die,5
1654,us,14
1655,actual,2
1656,length,1
1657,heygray,1
1658,cosplay,1
1659,real,6
1660,mon,1
1661,reason,5
1662,dislike,1
1663,gaingainvtuber,1
1664,cook,1
1665,ty,3
1666,ooh,1
1667,ruin,2
1668,enger,1
1669,beta,2
1670,shonen,1
1671,sup,1
1672,frens,1
1673,light,1
1674,of,2
1675,literally,2
1676,carrd,2
1677,avoid,1
1678,miscommunication,1
1679,simple,5
1680,rimworld,3
1681,star,4
